"","Viral Symptomatic","Bacteria","MeanDecreaseAccuracy","MeanDecreaseGini"
"f191",0,1.00503781525921,1.00503781525921,0.0915652173913043
"f79",1.00503781525921,1.00503781525921,1.00503781525921,0.0804968944099379
"f83",1.00503781525921,1.00503781525921,1.00503781525921,0.0804968944099379
"f194",0,0,0,0.0804968944099378
"f11",0,0,0,0.0798913043478261
"f39",0,0,0,0.0797101449275362
"f186",1.00503781525921,0,1.00503781525921,0.0782674571805006
"f53",0,-1.00503781525921,-1.00503781525921,0.0768379446640316
"f326",0,0,0,0.0768379446640316
"f332",1.41965725549001,1.00503781525921,1.3772614261276,0.0704761904761906
"f250",0,0,0,0.067639751552795
"f19",1.00503781525921,0,1.00503781525921,0.0668896321070234
"f288",0,0,0,0.0668896321070234
"f124",-1.00503781525921,0,-1.00503781525921,0.0642934782608696
"f300",0,0,0,0.0642934782608696
"f307",1.00503781525921,1.00503781525921,1.00503781525921,0.0583333333333333
"f82",-1.00503781525921,0,-1.00503781525921,0.0556818181818182
"f46",0,0,0,0.0547826086956521
"f203",0,0,0,0.0532054560954816
"f17",0,0,0,0.0507272727272729
"f258",1.00503781525921,1.00503781525921,1.00503781525921,0.0505050505050505
"f315",-1.00503781525921,-1.00503781525921,-1.41965725549001,0.0505050505050505
"f67",0,1.00503781525921,1.00503781525921,0.0500000000000001
"f50",0,0,0,0.0498616600790514
"f131",1.00503781525921,1.00503781525921,1.42655668773225,0.0496386946386946
"f52",0,0,0,0.0494871794871795
"f91",1.00503781525921,1.00503781525921,1.00503781525921,0.0494117647058824
"f108",-1.00503781525921,-1.00503781525921,-1.00503781525921,0.04875
"f275",1.00503781525921,0,1.00503781525921,0.0470869565217394
"f22",-0.447661481035845,-1.00503781525921,-0.483863100624885,0.0458623188405797
"f316",0,-1.00503781525921,-1.00503781525921,0.0436363636363636
"f9",0,0,0,0.0422608695652174
"f107",0,0,0,0.0415384615384615
"f230",0,0,0,0.0390579710144928
"f226",0,-1.00503781525921,-1.00503781525921,0.0373333333333338
